timestamp,event_duration_s,peak_order,peak_feedback,max_error,rms_error,mean_stress,avg_weight,is_loaded
2026-02-24 18:29:44,ARMGC_246,2.28,199,261,156,65.0,51.05,467.39,46.8,0
2026-02-24 18:29:44,2.28,199,261,156,66.24,52.64,46.8,0
2026-02-24 18:30:37,13.23,5999,5679,6008,2966.6,1196.88,0.4,0
2026-02-24 18:30:37,ARMGC_246,13.25,5999,5671,5975,2904.13,1160.74,10278.44,0.4,0
2026-02-24 18:31:00,12.33,3031,2892,2992,980.99,383.88,0.5,0
2026-02-24 18:31:00,ARMGC_246,12.33,3033,2859,2927,938.8,365.22,5454.25,0.5,0
2026-02-24 18:31:04,3.69,199,220,146,67.64,46.66,0.0,0
2026-02-24 18:31:04,ARMGC_246,3.7,199,220,146,65.53,44.97,142.73,0.0,0
2026-02-24 18:33:41,ARMGC_246,72.89,5999,6087,5999,1149.77,246.42,18320.03,0.7,0
2026-02-24 18:33:42,73.09,5999,6027,5999,1199.29,255.33,0.7,0
2026-02-24 18:35:26,ARMGC_212,80.99,10000,9671,10030,2280.44,551.94,38714.49,-1.3,0
2026-02-24 18:36:26,ARMGC_212,50.04,6209,6140,6007,1181.07,255.94,21861.65,-1.6,0
2026-02-24 18:42:30,ARMGC_246,36.7,5999,6049,5939,1652.92,439.47,13954.54,0.2,0
2026-02-24 18:42:30,37.08,5999,6058,5999,1771.31,481.05,0.2,0
2026-02-24 18:42:34,ARMGC_246,2.67,199,266,85,41.3,35.76,101.12,0.0,0
2026-02-24 18:42:34,2.69,199,267,87,42.19,36.36,0.0,0
2026-02-24 18:43:34,41.11,5999,6138,5897,917.21,247.52,0.0,0
2026-02-24 18:43:34,ARMGC_246,41.12,5999,6134,5897,895.73,241.51,14054.52,0.0,0
2026-02-24 18:45:11,93.54,5999,6141,2941,374.39,97.24,0.1,0
2026-02-24 18:45:11,ARMGC_246,93.54,5999,6141,2889,362.28,95.28,19655.7,0.1,0
2026-02-24 18:45:14,2.37,199,273,124,54.79,45.95,0.4,0
2026-02-24 18:45:14,ARMGC_246,2.37,199,273,124,52.82,44.25,94.12,0.4,0
2026-02-24 18:46:01,ARMGC_212,77.75,8886,8607,8977,1964.93,455.82,37336.9,-0.7,0
2026-02-24 18:50:16,ARMGC_212,7.94,5007,4912,5007,3155.43,1538.79,7781.75,-2.7,0
2026-02-24 18:50:42,83.27,5999,6128,5999,1187.05,241.95,2.0,0
