timestamp,crane_id,fault_name,event_type,downtime_s,was_reset_pressed
2026-02-24 16:15:08,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,24.1,Not Pressed
2026-02-24 16:16:40,ARMGC_246,Spreader_Land_Fault_XT,Occurrence,0,Not Pressed
2026-02-24 16:17:11,ARMGC_246,Spreader_Land_Fault_XT,Resolved,31.4,Not Pressed
2026-02-24 16:17:30,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:18:12,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Resolved,42.3,Not Pressed
2026-02-24 16:18:18,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:18:21,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 16:19:51,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:20:07,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,15.1,Not Pressed
2026-02-24 16:20:25,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:20:34,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 16:22:55,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:23:07,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 16:29:03,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:29:06,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,3.0,Not Pressed
2026-02-24 16:36:22,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:36:25,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,3.0,Not Pressed
2026-02-24 16:37:49,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:37:58,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 16:40:56,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:41:02,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,6.1,Not Pressed
2026-02-24 16:49:04,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:49:13,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,9.0,Not Pressed
2026-02-24 16:49:22,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:49:58,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,36.2,Not Pressed
2026-02-24 16:50:40,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 16:50:49,ARMGC_211,SPSS_Trolley_Dir_Not_Clear,Resolved,9.1,Not Pressed
2026-02-24 16:57:07,ARMGC_215,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 16:57:08,ARMGC_215,Spreader_Land_Fault_YT,Occurrence,0,Not Pressed
2026-02-24 16:57:37,ARMGC_215,Spreader_Land_Fault_YT,Resolved,30.2,Not Pressed
2026-02-24 16:57:38,ARMGC_215,Spreader_Land_Fault_YT,Resolved,30.2,Not Pressed
2026-02-24 17:12:18,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:12:33,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,15.1,Not Pressed
2026-02-24 17:14:39,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:15:09,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,30.2,Not Pressed
2026-02-24 17:17:14,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:17:26,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 17:17:35,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:17:38,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,3.1,Not Pressed
2026-02-24 17:18:29,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:18:40,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:18:47,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,18.1,Not Pressed
2026-02-24 17:20:18,ARMGC_216,SPSS_Trolley_Dir_Not_Clear,Resolved,98.1,Not Pressed
2026-02-24 17:29:44,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:29:47,ARMGC_215,SPSS_Trolley_Dir_Not_Clear,Resolved,3.0,Not Pressed
2026-02-24 17:33:18,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:34:00,ARMGC_213,SPSS_Trolley_Dir_Not_Clear,Resolved,42.2,Not Pressed
2026-02-24 17:35:00,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:35:12,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,12.1,Not Pressed
2026-02-24 17:36:58,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Occurrence,0,Not Pressed
2026-02-24 17:37:13,ARMGC_214,SPSS_Trolley_Dir_Not_Clear,Resolved,15.1,Not Pressed
